カテゴリ,項目,要件,測定指標,目標値,測定方法,優先度,備考
パフォーマンス,API応答時間,各APIエンドポイントの応答時間,平均応答時間,1000ms以下,New Relic/Datadog,高,95パーセンタイルで測定
パフォーマンス,画面遷移時間,Flutter画面間の遷移時間,遷移完了時間,1秒以内,ユーザー体感,中,
パフォーマンス,データベースクエリ,1リクエストあたりのクエリ数,クエリ実行数,10回以下,Laravel Debugbar,中,N+1問題の回避
パフォーマンス,同時接続数,システムが処理できる同時ユーザー数,同時接続数,1000人,負荷テスト (JMeter),高,ピーク時を想定
可用性,稼働率,システムの稼働時間の割合,稼働率,99.5%以上,Uptime Robot,高,月間ダウンタイム3.65時間以下
可用性,復旧時間,障害発生時の復旧時間,MTTR,24時間以内,インシデント管理,高,
可用性,バックアップ頻度,データベースのバックアップ頻度,実行頻度,日次,cron,高,
可用性,バックアップ保持期間,バックアップデータの保持期間,保存期間,30日間,ストレージ管理,中,
拡張性,ユーザー数増加対応,将来的なユーザー数増加への対応,対応可能ユーザー数,10000人まで,アーキテクチャ設計,中,垂直・水平スケーリング可能
拡張性,データ量増加対応,データベースの容量増加への対応,対応可能データ量,100万レコード,パーティショニング,中,
セキュリティ,通信暗号化,クライアント-サーバー間の通信暗号化,プロトコル,TLS 1.2以上,SSL Labs,高,HTTPS必須
セキュリティ,パスワードハッシュ化,パスワードの安全な保存,アルゴリズム,Bcrypt,コードレビュー,高,コストファクター10
セキュリティ,セッション管理,トークンの有効期限管理,有効期限,1440時間,Laravel Sanctum,高,
セキュリティ,ログ記録,セキュリティイベントのログ記録,記録対象,全認証イベント,Laravel Log,中,ログイン成功/失敗
セキュリティ,脆弱性対応,既知の脆弱性への対応,対応期間,Critical: 24時間以内,Composer Audit,高,
保守性,コードカバレッジ,テストコードのカバレッジ率,カバレッジ率,80%以上,PHPUnit/Flutter Test,中,
保守性,コード品質,静的解析ツールでのチェック,エラー数,0件,PHPStan/Dart Analyze,中,Level 5以上
保守性,ドキュメント整備,APIドキュメントの整備,完成度,100%,Swagger/Postman,中,全エンドポイント
保守性,ログ保持期間,アプリケーションログの保持期間,保存期間,30日間,logrotate,中,
運用性,デプロイ時間,本番環境へのデプロイにかかる時間,所要時間,30分以内,CI/CD,中,ダウンタイムを最小化
運用性,ロールバック時間,問題発生時のロールバック時間,所要時間,5分以内,デプロイスクリプト,高,
運用性,監視アラート,システム異常時のアラート通知,通知時間,30分以内,Slack/Email,高,
運用性,ログ検索,ログの検索・分析機能,検索時間,10秒以内,Elasticsearch (オプション),低,
ユーザビリティ,レスポンシブデザイン,様々な画面サイズへの対応,対応範囲,iPhone SE?iPad Pro,実機テスト,高,
ユーザビリティ,エラーメッセージ,ユーザーへのエラー表示,わかりやすさ,日本語・具体的,ユーザーテスト,高,
ユーザビリティ,オフライン対応,ネットワーク切断時の挙動,動作,エラー表示,手動テスト,中,
互換性,iOSバージョン,対応するiOSバージョン,対応範囲,iOS 15.0以上,実機テスト,高,
互換性,Androidバージョン,対応するAndroidバージョン,対応範囲,Android 12.0以上,実機テスト,高,
互換性,ブラウザ (管理画面),対応するブラウザ,対応範囲,Chrome/Safari/Edge 最新2バージョン,BrowserStack,中,
データ保持,個人情報保持期間,ユーザーの個人情報保持期間,保存期間,退会後即削除 (論理削除60日後物理削除),バッチ処理,高,GDPR対応
データ保持,取引履歴保持期間,参加履歴などの取引データ,保存期間,3年間,データベース設計,中,法令対応
データ保持,ログ保持期間,アクセスログ・エラーログ,保存期間,30日間,logrotate,中,
